,,p4,2,38,3,2,5,1,2,5,4
p8,1,9,1,1,0,9,1,5,5
p4,1,16,1,2,2,6,8,3,0
p3,1,29,8,1,2,0,2,6,3
p8,1,47,1,6,2,2,5,4,2
p3,1,21,6,1,3,1,1,4,6
p4,2,48,5,0,2,4,2,1,8
p3,1,39,8,0,0,3,3,3,5
p3,1,66,0,0,2,9,6,5,0
p3,1,64,1,2,8,0,1,3,7
p8,1,53,2,2,0,7,3,7,1
p4,2,31,6,0,1,4,3,1,7
p4,2,8,7,0,2,2,2,0,9
p8,1,41,2,0,6,3,2,8,1
p4,1,11,2,0,5,4,6,2,3
p3,1,82,1,1,0,9,2,8,1
p8,1,35,0,0,2,9,2,9,0
p7,2,27,0,0,10,1,1,10,0
p7,1,32,2,0,8,1,7,4,0
p3,2,13,9,1,1,0,2,1,8
p7,1,46,2,1,8,0,9,2,0
p8,1,31,10,0,1,0,2,1,8
p8,2,24,8,0,1,2,1,1,9
p4,1,19,1,3,4,3,5,4,2
p3,2,12,0,1,1,9,1,6,4
p4,2,34,0,0,3,8,1,10,0
p4,2,10,5,0,2,4,0,9,2
p3,1,52,8,0,1,2,1,6,4
p4,1,29,0,0,1,10,4,7,0
p3,1,70,0,0,3,8,6,5,0
p8,2,35,9,0,2,0,3,5,3
p7,1,40,5,1,3,2,9,2,0
p4,2,29,7,0,1,3,4,1,6
p4,2,33,5,1,4,1,1,6,4
p4,2,30,7,1,1,2,4,2,5
p8,1,24,7,0,3,1,6,0,5
p3,1,32,0,0,3,8,4,6,1
p8,1,7,5,1,4,1,5,3,3
p3,2,3,0,1,1,9,2,9,0
p8,2,30,4,1,4,2,3,1,7
p8,2,1,1,2,7,1,2,8,1
p4,2,13,2,1,7,1,6,5,0
p8,1,38,3,3,4,1,3,3,5
p4,2,28,3,1,1,6,0,8,3
p3,1,62,1,0,3,7,1,10,0
p4,1,20,5,2,4,0,4,7,0
p8,1,39,0,0,0,11,3,6,2
p7,1,21,3,0,5,3,0,8,3
p8,2,19,9,0,1,1,1,1,9
p7,2,5,4,2,4,1,6,5,0
p4,1,44,0,1,3,7,9,2,0
p7,2,30,1,1,0,9,3,8,0
p3,1,57,1,0,2,8,5,6,0
p4,2,51,7,0,1,3,1,5,5
p7,1,50,7,1,3,0,8,3,0
p7,1,54,5,1,2,3,9,2,0
p3,2,26,7,1,2,1,1,6,4
p4,2,57,4,2,2,3,5,4,2
p4,2,17,8,0,2,1,11,0,0
p8,1,65,6,1,3,1,2,5,4
p4,2,3,7,1,2,1,2,5,4
p7,1,27,3,0,1,7,4,7,0
p7,1,33,1,0,2,8,9,1,1
p3,1,44,9,0,1,1,1,4,6
p4,2,40,2,2,0,7,2,8,1
p3,1,61,9,1,0,1,1,1,9
p4,2,45,4,1,5,1,6,4,1
p3,1,71,8,0,2,1,1,3,7
p8,1,37,5,1,2,3,0,3,8
p4,2,64,7,0,3,1,9,1,1
p3,2,32,7,1,3,0,2,6,3
p4,1,33,9,1,0,1,0,6,5
p3,1,87,9,0,1,1,3,6,2
p3,1,74,1,1,2,7,3,8,0
p3,2,25,4,2,2,3,4,7,0
p8,1,15,0,2,4,5,4,6,1
p7,1,7,4,4,1,2,4,4,3
p8,1,1,3,1,5,2,5,5,1
p3,1,83,8,1,2,0,6,5,0
p7,2,14,4,2,4,1,1,9,1
p8,1,29,2,0,8,1,2,5,4
p7,1,37,1,0,3,7,3,6,2
p3,1,90,9,1,0,1,2,2,7
p3,1,37,0,0,1,10,4,6,1
p8,2,31,1,1,8,1,2,4,5
p3,1,76,3,0,1,7,6,5,0
p4,2,41,5,2,2,2,0,4,7
p4,2,55,3,1,5,2,4,7,0
p4,2,56,1,1,6,3,5,5,1
p3,1,81,2,0,5,4,8,3,0
p4,2,25,8,0,0,3,1,2,8
p3,1,79,1,0,2,8,3,7,1
p3,2,28,0,0,2,9,4,7,0
p8,2,13,3,2,2,4,4,6,1
p3,2,6,0,0,2,9,0,10,1
p3,2,14,0,2,7,2,3,5,3
p4,1,22,5,1,3,2,3,1,7
p4,2,54,9,0,1,1,0,2,9
p3,2,33,1,0,3,7,7,4,0
